iter,train_loss_px,rmse_px,mean_l2_px,focal
1.0,54.56083679199219,45.14799662775946,50.52777767426955,891.0447998046875
50.0,13.72228717803955,13.731278852120038,13.588101750241277,976.6982421875
100.0,12.560357093811035,12.583385457156984,12.479981405782466,1050.60888671875
150.0,12.229785919189453,12.248278783392923,12.093945824623116,1127.068359375
200.0,11.84324836730957,11.957540957660216,11.764293140261511,1212.288330078125
250.0,11.646951675415039,11.659074991347484,11.480812680337205,1304.2752685546875
300.0,11.357315063476562,11.420435212454217,11.242587776009858,1399.4124755859375
350.0,11.11945915222168,11.153963027473148,11.022442239305219,1493.4676513671875
400.0,10.961185455322266,10.99086830859746,10.85712324972767,1587.110595703125
450.0,10.838958740234375,10.806617153610292,10.700379088523132,1674.3751220703125
500.0,10.659719467163086,10.652324680826299,10.568963804001793,1757.71484375
550.0,10.584367752075195,10.51806620603567,10.44933510456608,1835.0145263671875
600.0,10.461071014404297,10.420217347148995,10.340990561291981,1907.5545654296875
650.0,10.367752075195312,10.309106225289662,10.267859826677547,1975.031982421875
700.0,10.275815963745117,10.226845177298987,10.170368741840964,2037.6610107421875
750.0,10.19944953918457,10.15545462099022,10.090853619910344,2095.954345703125
800.0,10.11620807647705,10.086603942974792,10.029020704543225,2150.718505859375
850.0,10.086854934692383,10.005776326433663,9.959840154318343,2200.090576171875
900.0,10.033472061157227,9.94397969726747,9.900467525950548,2248.802001953125
950.0,9.94035530090332,9.89713178625891,9.840900198611582,2295.493896484375
1000.0,9.876031875610352,9.834610701511506,9.761278256192794,2338.60400390625
1050.0,9.842442512512207,9.798205157647468,9.741729796333075,2381.052978515625
1100.0,9.834463119506836,9.74288284812607,9.688524809058377,2418.46142578125
1150.0,9.794232368469238,9.702403226663163,9.657296274076531,2454.908447265625
1200.0,9.750283241271973,9.66199518254586,9.600927350889156,2492.37060546875
1250.0,9.692131042480469,9.645281934819778,9.562014572301944,2527.91162109375
1300.0,9.671684265136719,9.577842673804728,9.527106940971743,2559.6181640625
1350.0,9.595622062683105,9.575245387520576,9.487081241949648,2594.7431640625
1400.0,9.560490608215332,9.541162213794475,9.450170105416916,2625.978759765625
1450.0,9.55029010772705,9.475070254964045,9.407618598689089,2655.349853515625
1500.0,9.504680633544922,9.461520677138584,9.37720984884901,2686.23779296875
1550.0,9.482331275939941,9.434612233697447,9.342859609310276,2715.217041015625
1600.0,9.456811904907227,9.423110301641723,9.324713168357784,2743.345703125
1650.0,9.44784164428711,9.394607874595504,9.298564817057493,2771.828125
1700.0,9.420523643493652,9.385956169624716,9.27298658906034,2800.012939453125
1750.0,9.328160285949707,9.378658449942487,9.24509774695717,2827.8212890625
1800.0,9.297797203063965,9.330951704457267,9.211575987251098,2851.967041015625
1850.0,9.351672172546387,9.304462630678909,9.184765597343896,2877.091796875
1900.0,9.282251358032227,9.282934493618892,9.162316837020503,2903.39111328125
1950.0,9.26677131652832,9.276393295355332,9.144364163465157,2927.88671875
2000.0,9.26974105834961,9.261718287052318,9.12018733332588,2950.85595703125
2050.0,9.215982437133789,9.23877512034395,9.099745493976442,2973.5869140625
2100.0,9.207170486450195,9.219401850285779,9.082863198975517,2996.58642578125
2150.0,9.187597274780273,9.194998993675421,9.066784541833263,3020.7109375
2200.0,9.12274169921875,9.188324088926874,9.038406623367106,3042.771484375
2250.0,9.157949447631836,9.171344238840843,9.025473270657033,3065.066162109375
2300.0,9.155585289001465,9.158536240693644,9.004569991640675,3086.658447265625
2350.0,9.169246673583984,9.129916789612711,8.992043426254737,3107.79248046875
2400.0,9.103104591369629,9.142010849091475,8.977472055884505,3127.88671875
2450.0,9.069169998168945,9.096327827566732,8.953986453671583,3146.631103515625
2500.0,9.074617385864258,9.081637854237673,8.936077874620073,3166.27294921875
2550.0,9.050846099853516,9.072494941651321,8.910012433407983,3187.158447265625
2600.0,9.017087936401367,9.033969053974689,8.89489857643068,3204.576416015625
2650.0,9.029851913452148,9.041459538969837,8.878388600514974,3227.296630859375
2700.0,9.007620811462402,9.01504132224703,8.870470842354075,3245.017822265625
2750.0,8.989076614379883,9.000484060447972,8.853932298168276,3263.530029296875
2800.0,8.952081680297852,9.011079256481532,8.840086934487989,3284.142578125
2850.0,8.960775375366211,9.006005682592587,8.824524058830763,3302.897216796875
2900.0,8.931324005126953,9.000765031278341,8.811709016021831,3321.94580078125
2950.0,8.928058624267578,8.960722976078943,8.790363239343725,3339.08447265625
3000.0,8.918924331665039,8.957429550089067,8.784446191663282,3357.166748046875
